电影名称,电影评分,电影地区,电影类型,电影页面链接,电影海报图片链接
马戏团,9.1,美国,爱情,https://movie.douban.com/subject/1299628/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2248445275.jpg
稻草人,9.1,美国,爱情,https://movie.douban.com/subject/1867778/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2503556327.jpg
艾蒂与茜雅：漫长婚约,9.1,美国,爱情,https://movie.douban.com/subject/4152738/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1509382174.jpg
雨中曲,9.0,美国,爱情,https://movie.douban.com/subject/1293460/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1612355875.jpg
淘金记,9.0,美国,爱情,https://movie.douban.com/subject/1298817/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1581774481.jpg
霸王别姬,9.5,香港,爱情,https://movie.douban.com/subject/1291546/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910813120.jpg
蝶影红梨记,9.3,香港,爱情,https://movie.douban.com/subject/4047730/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2517260323.jpg
紫钗记,9.3,香港,爱情,https://movie.douban.com/subject/1401219/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2274298717.jpg
大话西游之大圣娶亲,9.2,香港,爱情,https://movie.douban.com/subject/1292213/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2455050536.jpg
南海十三郎,9.1,香港,爱情,https://movie.douban.com/subject/1303913/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2328424489.jpg
KinKi Kids 你不在身边的夏天 songs,9.7,日本,爱情,https://movie.douban.com/subject/27605662/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2507748550.jpg
我和我的女孩,9.6,日本,爱情,https://movie.douban.com/subject/11577118/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2510934952.jpg
KinKi Kids ～硝子の少年達の「今」～,9.6,日本,爱情,https://movie.douban.com/subject/26920950/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2399937958.jpg
飄,9.4,日本,爱情,https://movie.douban.com/subject/26555978/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2256610543.jpg
最完美的离婚 2014特别篇,9.1,日本,爱情,https://movie.douban.com/subject/25790749/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2186872257.jpg
元气少女缘结神OVA：神明 幸福美满,9.1,日本,爱情,https://movie.douban.com/subject/26899000/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2391890320.jpg
情迷意乱,9.1,日本,爱情,https://movie.douban.com/subject/1422091/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1449763371.jpg
倒数第二次恋爱 2012秋SP,9.1,日本,爱情,https://movie.douban.com/subject/19955789/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1998695160.jpg
高智能方程式赛车 TV总集篇,9.0,日本,爱情,https://movie.douban.com/subject/4906417/,https://img3.doubanio.com/view/subject/l/public/s4412555.jpg
奥丁领域,9.0,日本,爱情,https://movie.douban.com/subject/5450837/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p784512610.jpg
我爱你,9.0,韩国,爱情,https://movie.douban.com/subject/5908478/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1075591188.jpg
亲爱的，不要跨过那条江,9.0,韩国,爱情,https://movie.douban.com/subject/25978207/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2209948211.jpg
无事生非 (2011年伦敦Wyndham剧院版),9.4,英国,爱情,https://movie.douban.com/subject/26763132/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2328040727.jpg
博士的女伴,9.2,英国,爱情,https://movie.douban.com/subject/11625156/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1876814414.jpg
snorks,9.2,英国,爱情,https://movie.douban.com/subject/1863428/,https://img3.doubanio.com/view/subject/l/public/s1796635.jpg
第十二夜,9.1,英国,爱情,https://movie.douban.com/subject/26994997/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2445773970.jpg
爱的奇迹,9.0,英国,爱情,https://movie.douban.com/subject/2119286/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p533191776.jpg
巴黎圣母院,9.3,法国,爱情,https://movie.douban.com/subject/20326557/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2329626263.jpg
罗密欧与朱丽叶,9.3,法国,爱情,https://movie.douban.com/subject/25928148/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2224933614.jpg
天堂电影院,9.1,法国,爱情,https://movie.douban.com/subject/1291828/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910901025.jpg
沉静如海,9.0,法国,爱情,https://movie.douban.com/subject/1769507/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p541622159.jpg
卡比利亚之夜,9.0,法国,爱情,https://movie.douban.com/subject/1294781/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2204675868.jpg
爱的奇迹,9.0,德国,爱情,https://movie.douban.com/subject/2119286/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p533191776.jpg
美丽人生,9.5,意大利,爱情,https://movie.douban.com/subject/1292063/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p510861873.jpg
灿烂人生,9.4,意大利,爱情,https://movie.douban.com/subject/1291831/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1161132422.jpg
天堂电影院,9.1,意大利,爱情,https://movie.douban.com/subject/1291828/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910901025.jpg
卡比利亚之夜,9.0,意大利,爱情,https://movie.douban.com/subject/1294781/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2204675868.jpg
三傻大闹宝莱坞,9.2,印度,爱情,https://movie.douban.com/subject/3793023/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p579729551.jpg
清秀佳人第二部,9.3,加拿大,爱情,https://movie.douban.com/subject/5047697/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1968503455.jpg
婚姻生活,9.0,瑞典,爱情,https://movie.douban.com/subject/1292981/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2037298187.jpg
控方证人,9.6,美国,悬疑,https://movie.douban.com/subject/1296141/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1505392928.jpg
十二怒汉,9.4,美国,悬疑,https://movie.douban.com/subject/10583098/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2153875961.jpg
控方证人,9.4,美国,悬疑,https://movie.douban.com/subject/5294851/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2367853261.jpg
疑犯追踪 试播集,9.4,美国,悬疑,https://movie.douban.com/subject/24700683/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1974739828.jpg
盗梦空间,9.3,美国,悬疑,https://movie.douban.com/subject/3541415/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p513344864.jpg
搏击俱乐部,9.0,美国,悬疑,https://movie.douban.com/subject/1292000/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910926158.jpg
网络谜踪,9.0,美国,悬疑,https://movie.douban.com/subject/27615441/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2521592656.jpg
无间道,9.1,香港,悬疑,https://movie.douban.com/subject/1307914/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2233971046.jpg
出租车司机的推理日记36,,日本,悬疑,https://movie.douban.com/subject/30156260/,https://img3.doubanio.com/f/movie/30c6263b6db26d055cbbe73fe653e29014142ea3/pics/movie/movie_default_large.png
